id,title,authors_or_org,year,venue_or_source,type,domain,method_keywords,relevance_to_v2,occupancy_risk,source_url,verified_date
L25,Verifiable Rewards for Calibrated Probabilistic Forecasting,Singh,2026,arXiv:2607.00164,论文(预印本),校准方法,proper scoring rule as RL reward;state-conditioned empirical win rate,中,Brier-as-reward训练范式；校准方法学新进展,https://arxiv.org/abs/2607.00164,2026-07-21
L26,Agentic Forecasting using Sequential Bayesian Updating of Linguistic Beliefs,Murphy et al.,2026,arXiv:2604.18576 v4 2026-07-12,论文(预印本),LLM预测,sequential Bayesian updating;linguistic beliefs;agentic,中,agentic forecasting方法线；v4近期仍在更新,https://arxiv.org/abs/2604.18576,2026-07-21
L27,Knowing What You Know Is Not Enough: LLM Confidences Don't Align With Actions,Pal et al.,2025,arXiv:2511.13240 v3 2026-02-09,论文(预印本),校准方法,action-belief gap;static calibration insufficient;agentic consistency,中,校准≠行为一致性；支撑v2描述性纪律,https://arxiv.org/abs/2511.13240,2026-07-21
L28,Crowdsourced versus large language models forecasting: evidence for the accuracy–correlation effect,匿名(royalsocietypublishing),2026,Phil. Trans. R. Soc. B 381:20240456,论文,LLM预测,crowd vs LLM;aggregation;accuracy-correlation effect,中,同行评审的crowd-vs-LLM比较；v2 §2.4/2.5可引,https://royalsocietypublishing.org/rstb/article/381/1948/20240456/481367/,2026-07-21
L29,An intuitive rearranging of the Yates covariance decomposition for probabilistic verification of forecasts with the Brier score,Vieira,2026,arXiv:2603.05544 v2 2026-06-22,论文(预印本),校准方法,Yates covariance decomposition;variance mismatch;correlation deficit;calibration-in-the-large,高,2026最新Brier分解理论；v2 §5指标升级锚点,https://arxiv.org/abs/2603.05544,2026-07-21
L30,Coordination as a configurable architectural layer (Murphy-decomposed Brier on live prediction markets),Nechepurenko et al.,2026,arXiv:2605.03310,论文(预印本),校准方法,Murphy decomposition;calibration vs discrimination;prediction market design,高,Murphy分解实证应用样板；v2 §5 Brier分量拆分直接可引,https://arxiv.org/abs/2605.03310,2026-07-21
L31,Multivariate reconciliation for hierarchical time series,Pinheiro; Bulhões; Hyndman; Rodrigues,2026,arXiv:2605.17920,论文(预印本),校准方法,forecast reconciliation;hierarchical coherence;multivariate,中,"""reconciliation"" false cognate必须disambiguate（时序层级≠结算对账）",https://arxiv.org/abs/2605.17920,2026-07-21
L32,Prediction under interventions: evaluation of counterfactual performance,Keogh; van Geloven,2024,Epidemiology 2024 (arXiv:2304.10005 v4),论文,校准方法,counterfactual Brier;IPW;calibration under intervention,中,反事实Brier评估最近邻；跨域(医学)借用须声明,https://arxiv.org/abs/2304.10005,2026-07-21
L33,Proper scoring rules for estimation and forecast evaluation (review),Waghmare et al.,2025,arXiv:2504.01781 v4 2026-05-10,论文(预印本),校准方法,proper scoring rules review;characterization;families,中,最新评分规则综述；可替v2 §2.3补新引,https://arxiv.org/abs/2504.01781,2026-07-21
L34,Strictly Proper Scoring Rules Prediction and Estimation,Gneiting; Raftery,2007,JASA 102:359-378,论文,校准方法,proper scoring rules;Brier;CRPS,高,v1.3已引——基线锚点,https://doi.org/10.1198/016214506000001437,2026-07-21
L35,The Polymarket-v1 Database: complete on-chain trade archive,Qin,2026,arXiv:2606.04217 v2 2026-06-08,论文/数据集(预印本),预测市场,on-chain settlement;ground-truth aggressor;microstructure predicts Brier,高,G3最近邻prior art；单账本settlement-ground-truth范式,https://arxiv.org/abs/2606.04217,2026-07-21
L36,Foresight Arena: An On-Chain Benchmark for Evaluating AI Forecasting Agents,Nechepurenko; Shuvalov,2026,arXiv:2605.00420 v2 2026-05-04,基准(预印本),预测市场,commit-reveal;Brier;Alpha Score;Murphy decomposition;power analysis,高,"占""proper-score+市场+AI agent评估""；live结果未发布(v2声明)；power analysis(n≈350)可作v2小样本辩护引证",https://arxiv.org/abs/2605.00420,2026-07-21
L37,InfoDelphi: designed information asymmetry for multi-agent belief revision,Li et al.,2026,arXiv:2607.01661,论文(预印本),LLM预测,information asymmetry;deliberation;herding ablation,高,H4升级锚点：同质证据→herding；v2应吸收其诊断粒度,https://arxiv.org/abs/2607.01661,2026-07-21
