agent_id,faction,persona,champion,top3,confidence,reason,source_file
data_06_3,数据派,荷兰统计学家,西班牙,西班牙|荷兰|阿根廷,58,西班牙控球率67%场均且阵型切换最灵活，4-3-3与4-2-3-1无缝切换，战术数据最全面。,wc2026_aggregation.json
data_07_1,数据派,葡萄牙数据分析师,葡萄牙,葡萄牙|西班牙|法国,72,维蒂尼亚+内维斯双核驱动攻防转换效率欧洲前三，C罗第六次参赛领导力加成难以量化。,wc2026_aggregation.json
data_07_2,数据派,巴西数据博主,阿根廷,阿根廷|法国|巴西,65,巴西国脚欧冠累计出场时间比阿根廷多近4000分钟，米利唐+罗德里戈伤缺防线转换率骤降。,wc2026_aggregation.json
data_07_3,数据派,比利时记者,西班牙,西班牙|德国|葡萄牙,78,西班牙世代传承数据最平滑，亚马尔领衔的新生代无缝交接，比利时黄金一代断层反衬其规划科学性。,wc2026_aggregation.json
data_08_1,数据派,日本数据分析师,法国,法国|西班牙|阿根廷,72,法国I组对手历史交锋xG均被碾压，淘汰赛路径最顺畅，14.8亿欧身价确保容错率。,wc2026_aggregation.json
data_08_2,数据派,前FIFA技术分析师,西班牙,西班牙|德国|法国,78,西班牙中场控制力FIFA排名第1，佩德里+祖比门迪控制指数在欧洲杯期间领先第二名15%。,wc2026_aggregation.json
data_08_3,数据派,阿根廷统计员,阿根廷,阿根廷|英格兰|葡萄牙,65,阿尔瓦雷斯+恩佐各1.05亿欧组成无梅西双核，数据显示阿根廷已降低梅西依赖度。,wc2026_aggregation.json
data_09_1,数据派,德转网站编辑,西班牙,西班牙|法国|阿根廷,78,西班牙近6场热身赛全胜且零封4场，H组签运极佳可从容轮换，亚马尔恢复进展良好。,wc2026_aggregation.json
data_09_2,数据派,美国数据科学家,法国,法国|英格兰|西班牙,72,神经网络模拟显示法国淘汰赛晋级概率27.3%，德尚谢幕战更衣室凝聚力达峰值。,wc2026_aggregation.json
data_09_3,数据派,法国数据顾问,阿根廷,阿根廷|西班牙|挪威,65,梅西38岁仅出场1820分钟体能储备充足，巴西伤缺使阿根廷半区压力骤减。,wc2026_aggregation.json
data_10_1,数据派,西班牙数据分析师,西班牙,西班牙|法国|英格兰,82,西班牙传球成功率92%+高位压迫夺回球权场均12.3次，传控体系FIFA排名第1无可撼动。,wc2026_aggregation.json
data_10_2,数据派,英格兰足球博主,英格兰,英格兰|西班牙|法国,68,英格兰头球争顶成功率+身体对抗数据冠绝欧洲，图赫尔将最大化高空优势。,wc2026_aggregation.json
data_10_3,数据派,数据聚合平台创始人,法国,法国|西班牙|阿根廷,71,综合FIFA+俱乐部+国家队多维度数据，法国个体能力值在所有维度中最均衡。,wc2026_aggregation.json
odds_01_1,赔率派,拉斯维加斯博彩顾问,西班牙,西班牙|法国|英格兰,80,市场有效假说下西班牙+500赔率隐含16.7%已充分定价所有信息，跟随市场共识收益最大。,wc2026_aggregation.json
odds_01_2,赔率派,伦敦博彩交易员,英格兰,英格兰|西班牙|阿根廷,55,法国+550被大额资金压低至与FIFA第11排名背离，属于典型过热盘；英格兰+650持续收敛有value。,wc2026_aggregation.json
odds_01_3,赔率派,亚洲盘口分析师,阿根廷,阿根廷|英格兰|西班牙,65,阿根廷J组让球盘深度远超+850赔率对应的战力差，卫冕冠军淘汰赛对位极佳。,wc2026_aggregation.json
odds_02_1,赔率派,澳门退休分析师,西班牙,西班牙|法国|英格兰,75,庄家给西班牙+500最低赔率，精算师团队综合亚马尔伤势和欧洲杯冠军后的定价，四十年从未看走眼。,wc2026_aggregation.json
odds_02_2,赔率派,欧洲交易所交易员,法国,法国|西班牙|葡萄牙,68,大额投注从巴西阿根廷流向法国，格里兹曼退出制造恐慌性高估，法国14.8亿欧身价被低估。,wc2026_aggregation.json
odds_02_3,赔率派,博彩数学博士,葡萄牙,葡萄牙|西班牙|法国,55,凯利公式显示葡萄牙+1100隐含8.3%，模型估计真实概率11.5%，维蒂尼亚+内维斯双核被系统性低估。,wc2026_aggregation.json
odds_03_1,赔率派,澳洲博彩前总监,阿根廷,阿根廷|巴西|法国,68,阿根廷+850隐含10.5%远低于西班牙16.7%，南美球队北美时区适应性极强，赔率明显低估卫冕概率。,wc2026_aggregation.json
odds_03_2,赔率派,北欧博彩顾问,挪威,挪威|葡萄牙|德国,35,挪威+3000隐含仅3.2%，但哈兰德2.33亿欧状态火热，北欧球员适应北美温带气候，回报风险比极具吸引力。,wc2026_aggregation.json
odds_03_3,赔率派,美国博彩推动者,美国,美国|墨西哥|西班牙,30,美国+6500隐含1.5%被严重低估，所有小组赛本土进行，北美首次联合办赛主场氛围决定性。,wc2026_aggregation.json
odds_04_1,赔率派,加密博彩平台创始人,法国,法国|西班牙|英格兰,65,Polymarket显示法国真实胜率接近17%，高于传统博彩+550隐含15.4%，去中心化市场存在定价偏差。,wc2026_aggregation.json
odds_04_2,赔率派,前博彩风控主管,西班牙,西班牙|法国|阿根廷,72,西班牙+500是风控驱动的保守定价，投注集中度最高迫使庄家锁死利润，这是最输不起的队伍。,wc2026_aggregation.json
odds_04_3,赔率派,南美博彩分析师,阿根廷,阿根廷|巴西|法国,58,南美本土公司将阿根廷从+850压至+700，与巴西+800倒挂，本土资金大量涌向卫冕冠军。,wc2026_aggregation.json
odds_05_1,赔率派,香港赛马会经理,法国,法国|西班牙|英格兰,68,凯利公式显示法国+550隐含15.4%远低于14.8亿欧身价对应的理论胜率，数学模型明确指向法国。,wc2026_aggregation.json
odds_05_2,赔率派,德国博彩评论家,西班牙,西班牙|德国|法国,75,EU合规市场资金流向显示西班牙+500被持续买入，多家机构同步下调；德国+1400被严重低估。,wc2026_aggregation.json
odds_05_3,赔率派,中东博彩顾问,葡萄牙,葡萄牙|法国|摩洛哥,52,中东投注数据显示C罗第六次参赛引发阿拉伯资本大量涌入葡萄牙，+1100高赔率具备正期望值。,wc2026_aggregation.json
odds_06_1,赔率派,日本博彩分析师,巴西,巴西|西班牙|阿根廷,58,东京投注站巴西占总注额35%，远高于欧洲平均18%，但欧洲庄家+800更客观，价值在跟欧洲市场。,wc2026_aggregation.json
odds_06_2,赔率派,前Pinnacle交易员,西班牙,西班牙|法国|英格兰,72,Pinnacle的西班牙+500已price in亚马尔伤势风险，精锐市场从不给免费午餐。,wc2026_aggregation.json
odds_06_3,赔率派,非洲博彩顾问,摩洛哥,摩洛哥|法国|葡萄牙,45,摩洛哥FIFA第7却+5000隐含仅2%，2022四强+2025 U20世冠+非洲杯冠军，非洲球队北美时区无时差劣势。,wc2026_aggregation.json
odds_07_1,赔率派,加拿大博彩评论员,阿根廷,阿根廷|西班牙|法国,72,梅西在北美踢球形成环境适应优势，东道主效应让阿根廷球迷占据球场多数，+850有价值。,odds_07_predictions.json
odds_07_2,赔率派,爱尔兰博彩家族第三代,德国,德国|西班牙|法国,65,西班牙+500和法国+550是赔率陷阱，德国Group E零压力晋级路径被+1400严重低估。,odds_07_predictions.json
odds_07_3,赔率派,东欧博彩资深人士,阿根廷,阿根廷|法国|德国,78,阿根廷Group J综合威胁最低，淘汰赛半区避开死亡半区，+850未反映路径溢价。,odds_07_predictions.json
odds_08_1,赔率派,东南亚博彩顾问,法国,法国|西班牙|巴西,72,亚洲大额投注涌入法国+550，中国彩民追姆巴佩热度超亚马尔3倍，法国受注量是西班牙1.8倍。,wc2026_aggregation.json
odds_08_2,赔率派,退休威廉希尔首席,西班牙,西班牙|法国|英格兰,68,四十年交易生涯，西班牙+500虽热但合理：2024欧洲杯冠军且24个月不败，亚马尔232M领衔。,wc2026_aggregation.json
odds_08_3,赔率派,巴西博彩网站创始人,巴西,巴西|阿根廷|法国,65,平台巴西投注占总流水47%，本土彩民用真金白银投票，维尼修斯174M+安切洛蒂执教。,wc2026_aggregation.json
odds_09_1,赔率派,博彩播客主持人,法国,法国|西班牙|阿根廷,72,西班牙+500被公众狂热追捧压缩价值，sharp听众都在押法国+550，格里兹曼退出制造恐慌性高估。,wc2026_aggregation.json
odds_09_2,赔率派,前贝塔斯曼数据师,西班牙,西班牙|法国|葡萄牙,68,算法模型显示西班牙+500隐含16.7%仍低于真实胜率19.2%，存在3%正期望值。,wc2026_aggregation.json
odds_09_3,赔率派,印度博彩分析师,葡萄牙,葡萄牙|西班牙|法国,55,亚洲市场对葡萄牙情报反应滞后，欧洲已将+1100压至+1000，印度仍有+1150，存在套利价值。,wc2026_aggregation.json
odds_10_1,赔率派,法国博彩监管前官员,西班牙,西班牙|法国|英格兰,75,相信规范市场透明度，西班牙+500隐含16.7%是数万笔真实交易的结晶。,odds_10_predictions.json
odds_10_2,赔率派,加勒比海度假村顾问,巴西,巴西|阿根廷|法国,55,感受度假地实时投注情绪，巴西+800在拉美游客中投注单堆积如山。,odds_10_predictions.json
odds_10_3,赔率派,新西兰数学讲师,英格兰,英格兰|西班牙|法国,68,概率论分析，英格兰+650去除3.5%抽水后存在正期望值偏差。,odds_10_predictions.json
fan_01_1,老球迷派,58岁意大利老球迷,法国,法国|阿根廷|西班牙,65,德尚2018年用意大利式防守反击夺冠，和1982罗西、2006卡纳瓦罗一脉相承。14.8亿欧世界第一，姆巴佩反击致命。,wc2026_aggregation.json
fan_01_2,老球迷派,62岁德国退休工人,德国,德国|法国|巴西,55,1990布雷默点球、2014格策绝杀，我都在慕尼黑广场见证。穆西亚拉维尔茨双核，2022耻辱必须洗刷。,wc2026_aggregation.json
fan_01_3,老球迷派,55岁巴西咖啡馆老板,巴西,巴西|阿根廷|法国,60,2002罗纳尔多捧起第五颗星，整条街跳桑巴。维尼修斯1.74亿欧新头牌，等24年该绣第六颗了。,wc2026_aggregation.json
fan_02_1,老球迷派,60岁英格兰退休邮递员,英格兰,英格兰|法国|西班牙,75,1966年刚出生，这辈子等足球回家。贝林厄姆1.63亿欧，L组仅克罗地亚一支劲旅。,fan_02_predictions.json
fan_02_2,老球迷派,57岁阿根廷屠夫,阿根廷,阿根廷|巴西|法国,72,见证马拉多纳86和梅西22，蓝白传承。FIFA第2，38岁梅西被精心管理，最后一舞。,fan_02_predictions.json
fan_02_3,老球迷派,63岁法国退休教师,法国,法国|西班牙|阿根廷,80,见证1998和2018，高卢雄鸡。姆巴佩2亿欧领衔14.8亿欧阵容，德尚最后一届全力以赴。,fan_02_predictions.json
fan_03_1,老球迷派,59岁乌拉圭老农民,乌拉圭,乌拉圭|阿根廷|西班牙,30,1950马拉卡纳父亲见证天蓝军团踩碎巴西冠军梦，七十六年轮回。H组出线后轻装上阵，民族血性不在乎排名。,wc2026_aggregation.json
fan_03_2,老球迷派,61岁荷兰郁金香农场主,荷兰,荷兰|西班牙|法国,52,1974克鲁伊夫、2010斯内德，三代全攻全守流尽泪。格拉芬贝赫1.05亿欧领衔，F组能从容练级。,wc2026_aggregation.json
fan_03_3,老球迷派,56岁西班牙酒吧老板,西班牙,西班牙|法国|阿根廷,78,2010约翰内斯堡之夜我在马德里哭到天亮。如今FIFA第1，24个月不败，亚马尔2.33亿欧接棒哈白布。,wc2026_aggregation.json
fan_04_1,老球迷派,64岁葡萄牙退休海员,葡萄牙,葡萄牙|法国|阿根廷,72,C罗41岁第六次出征创历史，葡萄牙FIFA第4且9.57亿欧身价位列前五，航海家精神不灭。,wc2026_aggregation.json
fan_04_2,老球迷派,58岁乌克兰老球迷,德国,德国|法国|荷兰,58,穆西亚拉和维尔茨双核驱动9.98亿欧阵容，德式纪律足球延续社会主义集体美学传统。,wc2026_aggregation.json
fan_04_3,老球迷派,60岁苏格兰酿酒师,荷兰,荷兰|阿根廷|葡萄牙,45,1978决赛饮恨至今刻骨铭心，全攻全守火种从未熄灭，荷兰8.37亿欧FIFA第6，+2000是最大价值黑马注。,wc2026_aggregation.json
fan_05_1,老球迷派,57岁墨西哥玉米农,墨西哥,墨西哥|阿根廷|巴西,35,1986年17岁在阿兹特克见证墨西哥借高原主场杀进八强，这届所有小组赛都在家门口，+7500说明全世界低估东道主。,fan_05_predictions.json
fan_05_2,老球迷派,62岁哥伦比亚咖啡农,阿根廷,阿根廷|巴西|哥伦比亚,72,巴尔德拉马黄金左脚让我这辈子只信南美技术流，梅西在迈阿密被精心管理半年只为最后一舞。,fan_05_predictions.json
fan_05_3,老球迷派,59岁前捷克斯洛伐克球员,克罗地亚,克罗地亚|西班牙|德国,50,1976年帕年卡勺子点球掀翻德国时全世界也不看好我们，克罗地亚FIFA第10，莫德里奇最后一届东欧韧性被低估。,fan_05_predictions.json
fan_06_1,老球迷派,56岁摩洛哥裔法国移民,法国,法国|西班牙|葡萄牙,75,法国14.8亿欧身价，非洲裔球员为主力框架，我血液中流淌着对这支球队的骄傲。,fan_06_predictions.json
fan_06_2,老球迷派,63岁瑞典老教师,挪威,挪威|西班牙|法国,25,哈兰德2.33亿欧状态火热，厄德高已恢复训练，预选双杀意大利，北欧双核有搅局实力。,fan_06_predictions.json
fan_06_3,老球迷派,60岁尼日利亚退休军官,塞内加尔,塞内加尔|法国|巴西,30,2002迪奥普一球斩落卫冕冠军法国，我在达喀尔彻夜狂欢。塞内加尔FIFA第14，非洲狮血管里流淌的是从不信赔率的热血。,fan_06_predictions.json
fan_07_1,老球迷派,58岁日本寿司师傅,日本,日本|西班牙|阿根廷,22,见证日本足球30年崛起，蓝武士精神永存。FIFA第18，堂安律和久保建英是旅欧骄傲。,fan_07_predictions.json
fan_07_2,老球迷派,61岁韩国烤肉店老板,韩国,韩国|阿根廷|德国,18,2002四强那是我们的黄金时刻，孙兴慜虽不在巅峰但太极虎永不言弃。,fan_07_predictions.json
fan_07_3,老球迷派,57岁美国退休海军,美国,美国|墨西哥|英格兰,30,1994美国世界杯开启了我的足球人生，东道主优势不可低估，D组对手均无夺冠经验。,fan_07_predictions.json
fan_08_1,老球迷派,59岁克罗地亚老船长,克罗地亚,克罗地亚|法国|阿根廷,35,1998苏克金靴到2018莫德里奇金球，我亲历格子军每一步。莫德里奇最后一舞必将点燃铁血防线。,wc2026_aggregation.json
fan_08_2,老球迷派,62岁波兰老矿工,克罗地亚,克罗地亚|德国|西班牙,30,1974拉托13球摘铜、1982博涅克闪耀，波兰黄金一代钢铁意志在克罗地亚延续。,wc2026_aggregation.json
fan_08_3,老球迷派,56岁塞内加尔水果商,塞内加尔,塞内加尔|法国|巴西,20,2002年斩落法国我在达喀尔彻夜狂欢，FIFA第14 ESPN第13，马内精神永在。,wc2026_aggregation.json
fan_09_1,老球迷派,60岁比利时啤酒酿造师,比利时,比利时|法国|西班牙,35,2018黄金一代最后之舞，G组签运极佳，+3500赔率被低估，德布劳内还有最后一点魔法。,fan_09_predictions.json
fan_09_2,老球迷派,58岁罗马尼亚退休教授,西班牙,西班牙|阿根廷|法国,62,哈吉时代让我信技术足球，西班牙FIFA第1且24个月不败，技术正统传承。,fan_09_predictions.json
fan_09_3,老球迷派,63岁澳大利亚牧场主,阿根廷,阿根廷|巴西|法国,48,世界杯需要领袖，38岁梅西精心管理体能，卫冕冠军底蕴犹存，老马在天之灵保佑。,fan_09_predictions.json
fan_10_1,老球迷派,57岁挪威老渔夫,挪威,挪威|法国|西班牙,25,哈兰德2.33亿欧+厄德高1.28亿欧双核，预选双杀意大利证明6.01亿欧阵容硬度，维京人从不畏惧死亡之组。,wc2026_aggregation.json
fan_10_2,老球迷派,61岁土耳其地毯商人,土耳其,土耳其|德国|阿根廷,18,2002季军底蕴在居勒尔和伊尔迪兹身上复活，5.36亿欧年轻阵容遇上温和D组，星月军团再现奇迹。,wc2026_aggregation.json
fan_10_3,老球迷派,59岁塞尔维亚老建筑师,克罗地亚,克罗地亚|阿根廷|法国,20,莫德里奇40岁第五次出征绝唱，FIFA排名10的格子军遇上最轻松L组，南斯拉夫足球最壮丽的谢幕。,wc2026_aggregation.json
mystic_01_1,玄学派,占星术爱好者,巴西,巴西|阿根廷|法国,55,木星2025年6月入双子座，象征双翼齐飞，巴西维尼修斯+拉菲尼亚边路双子星得木星加持。,wc2026_aggregation.json
mystic_01_2,玄学派,世界杯周期论者,葡萄牙,葡萄牙|西班牙|阿根廷,42,2016偶数年葡萄牙欧洲杯逆天夺冠，十年轮回2026偶数年再爆超级冷门，C罗第六次出征。,wc2026_aggregation.json
mystic_01_3,玄学派,数字命理师,哥伦比亚,哥伦比亚|德国|荷兰,38,哥伦比亚四字恰好26画与2026完美共振！2+6=8寓意发财，FIFA第13天选黑马。,wc2026_aggregation.json
mystic_02_1,玄学派,风水师,阿根廷,阿根廷|巴西|法国,62,墨西哥城2250米离火之地与阿根廷火命相生，梅西居迈阿密阳光之州火命旺地。,mystic_02_predictions.json
mystic_02_2,玄学派,塔罗牌读者,西班牙,西班牙|阿根廷|德国,58,西班牙抽到太阳正位，2024年3月不败光芒万丈；阿根廷命运之轮暗示卫冕魔咒。,mystic_02_predictions.json
mystic_02_3,玄学派,球衣颜色学专家,葡萄牙,葡萄牙|阿根廷|法国,55,葡萄牙纯红球衣=阳火契合红衣夺冠定律；法国蓝衣属水被火克，14.8亿欧反被颜色压制。,mystic_02_predictions.json
mystic_03_1,玄学派,易经爱好者,西班牙,西班牙|法国|阿根廷,75,2026丙午年为纯阳离火之年，西班牙红色战袍正应离为火卦象，27场不败如重明继照。,wc2026_aggregation.json
mystic_03_2,玄学派,吉祥物预言家,阿根廷,阿根廷|巴西|西班牙,68,三吉祥物复刻2002年三吉祥物格局，那年巴西夺冠今年必归南美，Zayu美洲豹暗示阿根廷。,wc2026_aggregation.json
mystic_03_3,玄学派,历史轮回论者,法国,法国|西班牙|挪威,72,2026减28年恰为1998法国首冠之年，二十八宿完整轮回，德尚谢幕首尾呼应。,wc2026_aggregation.json
mystic_04_1,玄学派,气象巫师,阿根廷,阿根廷|巴西|法国,72,决赛7月19日纽约55%概率WBGT超28度，梅西在迈阿密已适应湿热，南美球队热带基因觉醒。,wc2026_aggregation.json
mystic_04_2,玄学派,音乐预言家,法国,法国|西班牙|阿根廷,68,"马赛曲1792年战歌自带冠军buff，Aux armes, citoyens! 14.8亿欧身价一响玄学叠满。",wc2026_aggregation.json
mystic_04_3,玄学派,动物预言家,西班牙,西班牙|法国|葡萄牙,55,我家鹦鹉Polly听西班牙国歌皇家进行曲以为是同类鸟叫疯狂点头，FIFA第1天意如此。,wc2026_aggregation.json
mystic_05_1,玄学派,主题曲研究员,阿根廷,阿根廷|哥伦比亚|摩洛哥,72,官方曲Dai Dai是Afrobeat融合Latin节奏，与阿根廷球迷呐喊频率完全一致，天意。,wc2026_aggregation.json
mystic_05_2,玄学派,社交媒体迷信家,西班牙,西班牙|英格兰|巴西,58,TikTok上LaRoja标签播放量与不败场次形成黄金比例分割，数字根均为7。,wc2026_aggregation.json
mystic_05_3,玄学派,比赛用球预言家,法国,法国|葡萄牙|阿根廷,65,Trionda球名Tri即法语Tricolore缩写，蓝红双色与法国球衣同源共振，4块面板对应4次决赛。,wc2026_aggregation.json
mystic_06_1,玄学派,数字13恐惧症患者,阿根廷,阿根廷|巴西|葡萄牙,59,法国13名首次参赛新人触发数字诅咒，哥伦比亚FIFA排名13天选出局，避开厄运即是天命。,wc2026_aggregation.json
mystic_06_2,玄学派,赞助商分析师,阿根廷,阿根廷|西班牙|德国,67,阿迪达斯赞助球队在美洲世界杯夺冠率超七成，阿根廷是阿迪最老牌王牌合作方。,wc2026_aggregation.json
mystic_06_3,玄学派,时差预言家,巴西,巴西|阿根廷|哥伦比亚,74,欧洲球队在美洲世界杯受6-9小时时差诅咒从未夺冠，巴西仅1小时时差，桑巴重现2002。,wc2026_aggregation.json
mystic_07_1,玄学派,队长袖标颜色学家,法国,法国|西班牙|阿根廷,72,姆巴佩深蓝色袖标与法国国旗三色共振，水象色彩吉利，14.8亿欧身价锦上添花。,mystic_07_predictions.json
mystic_07_2,玄学派,开球时间占星师,西班牙,西班牙|法国|巴西,68,首战开球太阳位于双子座尾度，契合传控双子变换星盘，FIFA第1天命所归。,mystic_07_predictions.json
mystic_07_3,玄学派,助威分贝预言家,阿根廷,阿根廷|巴西|法国,65,美国南美移民球迷制造115分贝第十二人效应，梅西最后一舞全场共振。,mystic_07_predictions.json
mystic_08_1,玄学派,历史镜像论者,德国,德国|西班牙|阿根廷,60,2026复制2014德国在美洲夺冠打破诅咒剧本，穆西亚拉+维尔茨约等于当年穆勒+格策。,mystic_08_predictions.json
mystic_08_2,玄学派,队徽符号学家,阿根廷,阿根廷|巴西|西班牙,55,三星刚点亮，三是神秘学创造之数，五星巴西已达极盛必衰，阿根廷处于上升周期。,mystic_08_predictions.json
mystic_08_3,玄学派,球衣号码命理师,法国,法国|阿根廷|英格兰,58,姆巴佩接10号战袍，法国从二星跃迁三星与阿根廷2022形成宇宙镜像，天命轮回。,mystic_08_predictions.json
mystic_09_1,玄学派,揭幕战预言家,阿根廷,阿根廷|巴西|西班牙,62,墨西哥两次办世界杯冠军都是南美球队1970巴西1986阿根廷，历史轮回论再次验证。,mystic_09_predictions.json
mystic_09_2,玄学派,社交媒体头像分析师,西班牙,西班牙|法国|德国,71,2026丙午马年火旺，西班牙红黄配色火土相生，五行完美契合流年运势。,mystic_09_predictions.json
mystic_09_3,玄学派,举办城市风水师,法国,法国|阿根廷|德国,58,纽约决赛地居青龙位，大西洋龙脉迎欧洲球队，德尚谢幕战最后一舞玄学护佑。,mystic_09_predictions.json
mystic_10_1,玄学派,魔咒收集家,法国,法国|英格兰|德国,62,金球奖得主次年不夺冠诅咒从未失效，亚马尔预定2025金球西班牙必被咒杀，法国运势最干净。,wc2026_aggregation.json
mystic_10_2,玄学派,裁判面相师,巴西,巴西|阿根廷|哥伦比亚,38,预判决赛主裁面相为南美圆脸热情型，预示冠军必属南美，安切洛蒂执教天意安排。,wc2026_aggregation.json
mystic_10_3,玄学派,历史分水岭论者,英格兰,英格兰|葡萄牙|挪威,58,1966至2026整整一甲子大周期轮回，48队新制元年必诞生新王，萨卡终结60年诅咒。,wc2026_aggregation.json
coach_01_1,主帅视角派,退休英超主帅,英格兰,英格兰|法国|西班牙,62,图赫尔高位逼抢+快速转换体系天生适合淘汰赛，贝林厄姆+萨卡转换速度英格兰最快。,wc2026_aggregation.json
coach_01_2,主帅视角派,前西甲教练,西班牙,西班牙|法国|阿根廷,71,控球+tiki-taka传统，德拉富恩特延续433控球哲学，FIFA第1+24个月不败证明体系有效。,wc2026_aggregation.json
coach_01_3,主帅视角派,意大利退休教练,法国,法国|葡萄牙|英格兰,68,链式防守+反击效率，德尚4-2-3-1意式防反是大赛最成熟模板，姆巴佩+登贝莱双翼速度致命。,wc2026_aggregation.json
coach_02_1,主帅视角派,德国战术板达人,西班牙,西班牙|德国|法国,72,4231需要中场双核控制，西班牙佩德里+祖比门迪完美契合，比我更纯粹的执行者。,coach_02_predictions.json
coach_02_2,主帅视角派,南美解放者杯教练,阿根廷,阿根廷|巴西|法国,65,杯赛需要球星一锤定音，梅西38岁谢幕战有额外动力，FIFA第2技术流打穿任何防线。,coach_02_predictions.json
coach_02_3,主帅视角派,荷兰哲学信徒,法国,法国|西班牙|荷兰,68,姆巴佩+登贝莱+奥利塞三叉戟攻防转换是全攻全守的终极形态，克鲁伊夫会欣赏这种流动性。,coach_02_predictions.json
coach_03_1,主帅视角派,法国青训教练,法国,法国|西班牙|阿根廷,75,德尚连续两届一冠一亚，淘汰赛临场调整独一档，14.8亿欧身价+谢幕战动力无可匹敌。,wc2026_aggregation.json
coach_03_2,主帅视角派,巴西俱乐部退休主帅,巴西,巴西|法国|西班牙,65,安切洛蒂5座欧冠DNA移植到桑巴军团，维尼修斯1.74亿欧领衔，C组摩洛哥难挡冠军教头。,wc2026_aggregation.json
coach_03_3,主帅视角派,前阿根廷助教,阿根廷,阿根廷|法国|巴西,72,斯卡洛尼凝聚力比身价更重要，8.16亿欧远逊法国但团队默契和梅西谢幕战意志无可替代。,wc2026_aggregation.json
coach_04_1,主帅视角派,图赫尔战术研究专家,英格兰,英格兰|法国|西班牙,72,三中卫体系天生为淘汰赛设计，L组轻松可全力备战，图赫尔拿过欧冠知道怎么赢大赛。,wc2026_aggregation.json
coach_04_2,主帅视角派,恩里克战术粉丝,西班牙,西班牙|阿根廷|德国,78,德拉富恩特延续433控球哲学，亚马尔+佩德里双核H组偏弱可从容调整状态。,wc2026_aggregation.json
